titulo,subtitulo,primer_parrafo,seccion
Nueva Chicago presentó a Página 12 como flamante sponsor,La camiseta del equipo de Mataderos lucirá el nombre del diario en frente,"A días del comienzo de la Primera Nacional –torneo de segunda división del fútbol argentino– el Club Atlético Nueva Chicago hizo oficial el lanzamiento de su flamante sponsor: Página/12. En un marco que tuvo la presencia de distintas personalidades, entre ellos políticos, dirigentes gremiales, empresarios y diversos medios de comunicación, la institución de Mataderos se mostró orgullosa de estrenar su vestimenta y confluir en un mismo proyecto que integre a la marca del diario.",Deportes
Mbappé tiene un desgarro y se pierde la ida ante el Bayern Múnich,El astro francés no jugará ante los alemanes por la Champions League,"El frances Kylian Mbappé, goleador de Paris Saint Germain, sufrió una lesión en el muslo de la pierna izquierda y está descartado para el encuentro de ida de los octavos de final de la Liga de Campeones de Europa ante Bayern Múnich. ",Deportes
"Lionel Messi: ""No sé cómo llegaré al 2026, pero dejo la puerta abierta""",En una nota por streaming el astro rosarino ilusionó a los hinchas con su posible permanencia en la Selección,"El astro argentino Lionel Messi dejó la puerta abierta para estar en la Selección en el Mundial 2026, aunque reconoció que ""parece difícil, por la edad, por lo físico"" y señaló que el plantel tuvo un ""comportamiento ejemplar"" en la conquista ecuménica en Qatar 2022.",Deportes
Copa Italia: Juventus batió a Lazio y avanzó a las semifinales,"Di María ingresó en el complemento para la Vecchia Signora, que se medirá con el Inter de Lautaro Martínez","Con el ingreso de Angel Di María, Juventus venció 1-0 como local a Lazio este jueves y se clasificó para las semifinales de la Copa Italia, instancia en la que se medirá con el Inter, actual monarca del certamen.",Deportes
"Scaloni, PSG, la relación con Mbappé y el Mundial 2026: cuatro definiciones de Lionel Messi",¿Sigue en la Selección Argentina?,"Luego de romper el silencio el pasado lunes, Lionel Messi brindó una nueva entrevista en la que reveló más perlitas del Mundial de Qatar 2022, y contó sus sensaciones al coronarse campeón del mundo con la Selección Argentina. “Estaba seguro de que Dios me iba a regalar un mundial”, aseguró el capitán de la Albiceleste. ",Deportes
Selección femenina argentina: los amistosos de febrero previos al Mundial 2023,De cara a Australia-Nueva Zelanda,"La selección femenina de fútbol de Argentina jugará tres amistosos durante febrero, en la previa de lo que será su participación en el Mundial Australia-Nueva Zelanda 2023. Los rivales de las dirigidas por Germán Pontanova serán Chile y justamente Nueva Zelanda en dos ocasiones. ",Deportes
Enzo Fernández se despide del Benfica y el Chelsea le da la bienvenida,River recibirá una cifra millonaria por la venta de la joya de las inferiores,"Enzo Fernández, el mediocampista que fue figura del seleccionado argentino que se consagró campeón del mundo en Qatar, se despidió este miércoles del Benfica tras ser oficializado como flamante refuerzo del Chelsea de Inglaterra, club que a la vez le dio la bienvenida en sus redes sociales.",Deportes
"Nacho Fernández, el crack que no deja de sorprender ",Repaso por la carrera del talentoso volante que regresó a River y marcó un gol en la victoria ante Central Córdoba,"""Este flaco conmigo no va a jugar un partido”, dijo Pedro Troglio allá por el año 2012/13 al cuerpo técnico de Gimnasia de La Plata, cuando Ignacio “Nacho” Fernández retornó al Lobo, después de un breve paso a préstamo por Temperley. Aquel flaquito, al que, según sus propias palabras, acusaban de “vago” y de no correr porque “solo quería jugar con la pelota”, terminó convirtiéndose en un jugador determinante y en uno de los predilectos de Troglio. Su pausa, su desequilibrio con la pelota y los pases precisos para crear situaciones de gol, dejaron en claro su capacidad como futbolista.",Deportes
Página/12 es el nuevo sponsor de Nueva Chicago,"Lo confirmó el Director General, Hugo Soriani","Página/12 es el nuevo sponsor principal del Club Atlético Nueva Chicago. La marca estará presente en la cancha, sus instalaciones y en la indumentaria de los equipos de Primera División y Reserva.",Deportes
Boca sumó a Merentiel sobre el cierre del libro de pases,"El exdelantero de Godoy Cruz, Defensa y Justicia y Palmeiras llega a préstamo por un año con opción de compra","El uruguayo Miguel Angel Merentiel aprobó la revisión médica de rigor y fue presentado como nuevo delantero de Boca. El atacante, de anterior paso por Godoy Cruz y Defensa y Justicia, estaba relegado en Palmeiras (jugó apenas 11 partidos y anotó dos goles) adonde llegó a principios del año pasado y fue traído por Boca a préstamo por un año con una opción de tres millones de dólares para sumar competencia interna en una posición donde ya conviven Darío Benedetto, Nicolás Orsini y Nicolás Vázquez. Merentiel incluso podría ir al banco el domingo cuando Boca reciba en la Bombonera a Central Córdoba de Santiago del Estero.",Deportes
Copa Davis 2023: Argentina prepara la serie con Finlandia,Se sortea el viernes; se juega sábado y domingo,"El equipo argentino capitaneado por Guillermo Coria ya se encuentra en Finlandia preparando la serie de Copa Davis que se jugará este sábado 4 y domingo 5 -televisación de TyC Sports- para definir el pase a las Finales del certamen y Francisco Cerúndolo, primer singlista albiceleste, dejó sus sensaciones desde la fría ciudad de Espoo.",Deportes
"Partido de locos del PSG: golazo de Messi, Mbappé falló dos penales y festejo de un pibe de 16 años",Triunfo 3-1 sobre el Montpellier,"El campeón mundial Lionel Messi volvió al gol este miércoles en una jornada agridulce para el París Saint-Germain, ya que el francés Kylian Mbappé se retiró lesionado en el primer tiempo, al igual que el español Sergio Ramos.",Deportes
Los 13 minutos malditos de Mbappé: dos penales atajados y una lesión,El delantero francés y una noche para el olvido,"El PSG se aleja en la Ligue 1. El equipo de Lionel Messi le ganó este 3 a 1 miércoles a Montpellier y quedó a cinco puntos del segundo, el Olympique de Marsella. Incluso el partido tuvo un golazo del campeón del mundo, quien cortó una racha negativa de encuentros sin marcar, y hasta el debut goleador de un juvenil de 16 años. Pero seguramente para los parisinos no será una noche memorable y es en gran medida por lo que ocurrió con Kylian Mbappé: la estrella francesa tuvo 13 minutos ""malditos"" con dos penales errados y una lesión que preocupa para los cruces en las Champions League.",Deportes
Mundial de Clubes 2023: Al Ahly goleó e irá contra el Seattle del exBoca Nico Lodeiro,Se estrenó la explicación del árbitro de las decisiones del VAR,"Al Ahly de Egipto avanzó este miércoles a cuartos del final del Mundial de Clubes de la FIFA que se juega en Marruecos tras derrotar por 3 a 0 a Auckland City de Nueva Zelanda, en donde fue titular el santiagueño Emiliano Tade, quien marcó un récord absoluto al participar de su octavo Mundial de Clubes.",Deportes
"Boca vs. Central Córdoba: cuándo juegan, hora, TV y probables formaciones",A la espera de Merentiel y Merrolla,"A la espera de Miguel Merentiel, que en la tarde de este miércoles se realizó la revisión médica, y de lo que ocurra en las negociaciones con Huracán por Lucas Merolla, Boca recibirá en La Bombonera a Central Córdoba de Santiago del Estero. Será este domingo desde las 19:15 por la fecha 2 de la Liga Profesional. Cómo verlo en vivo y las probables formaciones. ",Deportes
¿Cuánto dinero le pagó Chelsea a Benfica por Enzo Fernández y cuánto le queda a River?,El campeón del mundo es el jugador argentino más caro de la historia,"Enzo Fernández se convirtió este martes en el futbolista argentino más caro de la historia. Chelsea, de Inglaterra, pagará los 120 millones de euros de su cláusula de rescisión: el exRiver firmará un contrato hasta 2031. El futbolista se hará la revisión médica en Portugal y dejará Benfica luego de solo seis meses. La venta fue confirmada por Fabrizio Romano, uno de los cronistas más leidos en el mundo futbolero y que suele dar las primicias mundiales.",Deportes
"PSG vs Montpellier con Messi de titular: a qué hora juegan, TV y formaciones",Fecha 21 de la Ligue 1 ,Este miércoles desde las 17 el PSG de Lionel Messi enfrentará al Montpellier en el Stade de la Mosson por la fecha 21 de la Ligue 1. Probables formaciones y cómo verlo en vivo. ,Deportes
"Según su representante, el noruego Erling Haaland cotiza en mil millones de euros  ","""Quizá nadie pague eso, pero ese es el potencial que tiene cuando llega a un club"" ","El delantero noruego del Manchester City inglés, Erling Haaland, vale 1.000 millones de euros según su agente que justifica esa suma en cuanto al potencial que presenta el jugador de 22 años, indicó hoy la prensa europea.",Deportes
La provincia de San Juan es candidata a ser Capital Americana del Deporte,,"La provincia de San Juan es candidata a convertirse en la Capital Americana del Deporte 2024 y las ilusiones se agigantaron después de la visita de las autoridades de la Asociación de Capitales y Ciudades del Deporte (ACES), con sede en Europa, quienes evalúan la gestión deportiva antes de entregar este título.La comitiva de seis autoridades de ACES llegó a la provincia de San Juan el viernes 27 y permanecieron hasta el 31 de enero, es decir que pudieron presenciar el multitudinario cierre de la Vuelta a San Juan, competencia internacional de ciclismo, una histórica y gran pasión de los sanjuaninos.El grupo pudo recorrer espacios deportivos y reunirse con dirigentes deportivos locales. Su decisión será comunicada en las próximas semanas.La satisfacción del gobernador Sergio Uñac, y de su equipo de la Secretaría de Estado de Deportes, se vio coronada cuando en la presentación oficial de esta candidatura en Casa de Gobierno, Hugo Alonso, secretario general de ACES Europa, dijo: *“Lo que se está haciendo en San Juan no se está haciendo en ningún lugar de América”.*Agregó que hay más de 3.000 ciudades del deporte en todo el mundo “y queremos que la provincia de San Juan forme parte de esta red porque tiene ADN deportivo”.Por su parte, el gobernador de San Juan expresó que: “Las políticas deportivas serias, con planificación, con propuestas de objetivos y cumplimientos de los mismos, son el mejor puente de conexión entre la sociedad, la igualdad de oportunidades y la mejora en la calidad de vida de las personas”.",Deportes
Boca también se sumó a la causa de las Abuelas de Plaza de Mayo,Estela de Carlotto fue declarada Socia Honoraria del club de la Ribera,"La titular de Abuelas de Plaza de Mayo, Estela de Carlotto, fue distinguida este martes como Socia Honoraria de Boca, en una emotiva ceremonia que se realizó en uno de los salones de la Bombonera. ",Deportes
"Argentina Sub 20: ""Le ofrecimos oficialmente a Mascherano que siga""","Bernardo Romeo, coordinador de Selecciones Juveniles de la AFA","El coordinador de Selecciones Juveniles de la AFA, Bernardo Romeo, respaldó a Javier Mascherano pese a la eliminación de la Sub 20 en fase de grupos del Sudamericano y aseguró que ""la idea firme es que continúe"" como entrenador del equipo.",Deportes
Marcelo Bielsa se acerca a la Selección de México,El Loco aceptó reunirse con la Federación de Fútbol azteca,"Luego de varios amagues, Marcelo Bielsa aceptó reunirse con la dirigencia de la Federación Méxicana de Fútbol (FMF) para negociar la posibilidad de reemplazar a su compatriota Gerardo Martino como entrenador del seleccionado de ese país.",Deportes
"Arranca el Mundial de Clubes 2023, con Real Madrid, Flamengo y varios argentinos","Ramón Díaz y Vietto, el uruguayo exBoca Lodeiro y el hombre récord Emiliano Tade","Al Ahly de Egipto, subcampeón de África, y Auckland City de Nueva Zelanda, campeón de Oceanía, darán inicio este miércoles a un nuevo Mundial de Clubes a celebrarse en la ciudades de Tánger y Rabat, en Marruecos, y que tiene como favoritos al Real Madrid de España y Flamengo de Brasil.",Deportes
Violencia de género en el tenis: la ATP decidió no sancionar a Zverev,"El ente rector del circuito masculino comunicó que las pruebas son ""insuficientes""","""Las acusaciones son injustificadas y falsas"", repitió Alexander Zverev en cada rueda de prensa en la que fue consultado por la denuncia pública por violencia de género de su ex novia Olya Sharypova, que recorrió los medios del mundo a mediados de 2020.",Deportes
"Huracán-Yupanqui y Defensa-Ituzaingó por Copa Argentina, a qué hora y cómo verlos",Por los 32avos de final,"La Copa Argentina continuará este miércoles con las presentaciones de Huracán y Defensa y Justicia ante Yupanqui e Ituzaingó, respectivamente.",Deportes
"Franco Armani: ""Ojalá que Otamendi venga a River en junio""",El arquero del Millo y la Selección habló tras el buen debut del equipo de Demichelis en la Liga Profesional,"El arquero de River y campeón del mundo, Franco Armani, deseó este martes que en junio llegue el defensor Nicolás Otamendi, quien es hincha confeso de la institución y quedará libre en Benfica de Portugal, luego de varios sondeos para sumarlo de cara a la segunda parte del año.",Deportes
Copa Italia: el Inter de Lautaro Martínez avanzó a semifinales ,Venció al Atalanta de Musso; este miércoles juegan Fiorentina-Torino y Roma-Cremonese,"Con el argentino campeón del Mundo en Qatar 2022 Lautaro Martínez como titular y capitán, Inter le ganó 1-0 este martes al Atalanta, donde atajó su compatriota Juan Musso, y avanzó a las semifinales de la Copa Italia.",Deportes
"Mundial de Clubes: fechas, formato, qué equipos juegan y cómo verlo",Organizado por la FIFA,"A partir de este miércoles 1 de febrero y hasta el sábado 11 se realizará el Mundial de Clubes 2022 que la FIFA organizará en Marruecos. Sedes, formato, qué equipos lo juegan y cómo verlo en vivo.",Deportes
"Scaloni y Mascherano, dos caras de una misma moneda",,"Javier Mascherano se fue del predio de la AFA en Ezeiza el domingo por la mañana con la sensación (no la convicción) de que seguirá siendo el director técnico del Seleccionado Sub 20. El presidente Claudio ""Chiqui"" Tapia escuchó su informe sobre la eliminación argentina del Sudamericano Sub 20 de Colombia y, en principio, decidió ratificarlo en su cargo. Más que los paupérrimos resultados alcanzados (tres derrotas en cuatro partidos), Tapia evaluó la continuidad del proyecto y lo importante que resulta, en su opinión, la presencia de Mascherano dentro del mismo. ",Deportes
"Ángel Di María: ""Cuando me vi por izquierda, pensé que Scaloni se había confundido""",Fideo dio detalles espectaculares de la final de Qatar 2022,"Ángel Di María, uno de los héroes de la consagración argentina en Qatar, confirmó este lunes que seguirá jugando en la Selección y que intentará llegar a la próxima Copa América, a disputarse en Estados Unidos el año que viene, a la vez que reveló detalles de la final del mundo ganada a Francia el 18 de diciembre.",Deportes
Boca entregará a Estela de Carlotto el carnet de socia honoraria del club ,Reconocimiento a Abuelas de Plaza de Mayo,"El club Boca Juniors hará entrega este martes de los carnets de socias honorarias a Estela de Carlotto y Buscarita Roa, integrantes de las Abuelas de Plaza de Mayo, en un acto que se realizará desde las 18 en la sede de Brandsen 805.",Deportes
"Gracias al VAR, Godoy Cruz le sacó el invicto a Barracas en el Chiqui Tapia",El Tomba sorprendió al Guapo,"Godoy Cruz dio la nota este lunes y se llevó los tres puntos de su visita a Barracas Central, que vio finalizar el invicto que sostenía desde que volvió a jugar en el estadio Claudio ""Chiqui"" Tapia, con cuatro triunfos y tres empates.",Deportes
Cánticos contra la dirigencia en San Lorenzo,En medio de la crisis en el club y rumores de renuncia de Lammens,"La primera fecha de San Lorenzo de Alamagro, ante Arsenal, tuvo en la previa un sonoro y efusivo rechazo a la dirigencia del club, que bajó en forma de cantitos desde los cuatro costados del estadio Pedro Bidegain: ""Dirigentes... a ver si se dan cuenta que no los quiere nadie..."", se escuchó a la hinchada azulgrana.",Deportes
Liga Profesional: Vélez Sarsfield fue superior a Gimnasia La Plata,"En Liniers, el equipo del ""Cacique"" Medina se impuso 3-1 al del debutante Romero","Vélez Sarsfield superó 3-1 este lunes a Gimnasia La Plata en el estadio José Amalfitani, en la continuidad de la primera fecha de la Liga Profesional.",Deportes
Liga Profesional: Banfield igualó ante Unión de Santa Fe,"Fue 0-0 en el Sur del conurbano, al cierre de la primera fecha","Banfield y Unión de Santa Fe ofrecieron este lunes un empate sin goles en el estadio Florencio Sola, en el cierre de la primera fecha de la Liga Profesional.",Deportes
"Leo Messi: el Mundial llegó ""en el mejor momento, al final de mi carrera y cerrando mi etapa profesional""",Habló por primera vez tras el Campeonato del Mundo,"Cuando Argentina anotó el último penal en el Mundial Qatar 2022, Leo Messi conquistó el máximo logro de su carrera: coronarse como campeón del Mundo, un momento con el que había soñado más de una vez. ""Presentía que Dios tenía esto guardado para mí y estaba esperando el momento. Y no hubo mejor momento que este, al final de mi carrera y cerrando mi etapa profesional"", contó el capitán de la Scaloneta.",Deportes
San Lorenzo: el capitán Federico Gattoni abandona el barco,No se presentó a la práctica ya que habría viajado a Europa,"El capitán de San Lorenzo, Federico Gattoni, en conflicto por la renovación de su contrato, no se presentó al entrenamiento de este lunes para sorpresa de todos en Boedo, incluidos los dirigentes, quienes evalúan una medida disciplinaria dado que el jugador viajó a Europa y sin autorización para tramitar su ciudadanía.",Deportes
Rondón ya se sumó a las prácticas de River,El delantero venezolano firmó su contrato por tres años ,"Martín Demichelis ya tiene al delantero que tanto esperaba: este lunes, el goleador venezolano Salomón Rondón fue presentado de manera oficial y llevó adelante su primera práctica con el plantel de River. De esta manera se convirtió en el cuarto refuerzo del conjunto de Núñez, que aspira a borrar rápido un año sin éxitos como le ocurrió en 2022.",Deportes
La defensa de Dani Alves pedirá la libertad condicional,El jugador brasileño está acusado por una agresión sexual contra una joven,"La defensa del brasileño Dani Alves presentará este lunes un recurso de apelación en la justicia de Barcelona para pedir la libertad provisional del futbolista, al cumplirse un mes del hecho sucedido en una discoteca de esa ciudad, investigado como presunta agresión sexual contra una joven de 23 años.",Deportes
Jugadores que la ligan 2023,Peligro de Wolf,"El fútbol argentino regresó de la mano de la Liga Profesional y, como siempre, en Peligro de Wolf vamos a citar a sus protagonistas. Por empezar hay que decir que la AFA está más loca que una Cabral. ¿Cómo va a empezar el torneo un Díaz de enero? En esta época la gente se Marchi de vacaciones. De hecho, hace dos Domínguez yo Armani las valijas y me fui en mi moto Rojas a la Acosta, Más precisamente a Villa Gesell. Me esperaba Adela, una antigua amiga del Barrios, cuya familia tiene allí una Quintana. Paradela fue un Valdez de agua Frías, porque me esperaba la noche anterior. Llegué al Díaz siguiente, a las 8 de la Mammana porque en la ruta, a la altura de Varela, con mi moto Márquez Guerrero, debí Esquivel a un Gattoni y me Metilli en un Pozzo. Me di un Opazo fuerte, suerte que llevaba el Casco. ",Deportes
"El divertido festejo de Novak Djokovic al ritmo de ""Muchachos""",Tras consagrarse campeón en el Australian Open,"Novak Djokovic hizo historia. Otra vez. Venció en la final al griego Stefanos Tsitsipas, se consagró campeón del Australian Open y recuperó el puesto número 1 del mundo. Hasta ahí todo ""normal"". Lo inusual fue que tras los festejos, el serbio habló con un periodista argentino y se declaró fanático de Lionel Messi, de la Scaloneta y hasta se atrevió a cantar —de punta a punta— ""Muchachos"", el clásico hit de la Selección en el Mundial de Qatar 2022.",Deportes
Liga Profesional: Lanús derrotó 2 a 1 a Colón en Santa Fe,El conjunto granate se agrandó en el Cementerio de los elefantes,Lanús debutó en la Liga Profesional con un valioso triunfo por 2 a 1 en Santa Fe ante un Colón que llenó de preocupación a su público con una actuación deficiente en todo aspecto. La visita se puso en ventaja a los 12 minutos gracias a un tanto de Pedro De la Vega y sentenció el partido a los 26' del segundo tiempo en un contraataque que finalizó el ingresado Franco Orozco.,Deportes
Racing no pudo con el muro que le levantó Belgrano,Empate sin goles en el Cilindro de Avellaneda,"Un gustito a poco le quedó a Racing en su empate sin goles contra Belgrano. Buscó mucho pero encontró poco, pese a que utilizó diferentes vías para quebrar el muro defensivo de los cordobeses. Intentó con el desborde del siempre inquieto Johan Carbonero, con los pases en profundidad de Maxi Moralez o Juan Ignacio Nardoni, con las jugadas asociadas por el medio, con centros al corazón del aérea y con disparos de media distancia.",Deportes
"El Boca de Ibarra y un triunfo ""chiquito"" ante Atlético Tucumán",El Xeneize ganó en la Bombonera y debutó Sergio Romero en el arco,"La última vez que Boca y Atlético Tucumán se habían visto las caras, el primero todavía se estaba reacomodando de la salida de Battaglia e Ibarra encaraba su quinto partido como DT, mientras que el segundo era nada menos que el puntero de la Liga. El Xeneize se terminó imponiendo 2-1 con un doblete consagratorio de Langoni, dando origen a las denominadas notas SEO del estilo ""¿Quién es Luca Langoni, el nuevo héroe de Boca?"", y el equipo de Ibarra empezaba a construir el camino que lo tendría como campeón de la Liga, a puro resultado y con un funcionamiento poco convincente.",Deportes
"Novak Djokovic, la guerra y la eternidad: otra vez se consagró en Australia",Ganó por décima ocasión en Melbourne y alcanzó el récord de Grand Slams,"Novak Djokovic parece estar empecinado en enterrar la historia de un deporte centenario como el tenis. Invencible en las canchas del Melbourne Park, el serbio conquistó por décima ocasión el Abierto de Australia, una victoria que representa la 22ª en torneos de Grand Slam, el récord que registraba hasta el momento Rafael Nadal.",Deportes
Los partidos de hoy de la Liga Profesional 2023: Vélez vs Gimnasia,"Además, hora y TV de Barracas-Godoy Cruz y Banfield-Unión","La primera fecha de la Liga Profesional 2023 se cerrará este lunes con tres partidos. La cosa arrancará a las 17 con Barracas Central vs. Godoy Cruz de Mendoza, con transmisión de la TV Pública.",Deportes
Liga Profesional: Platense y Newell's empataron en Vicente López,"El equipo de Martín Palermo perdía de local, lo dio vuelta pero no pudo aguantar la ventaja","Platense y Newell´s igualaron este domingo por 2 a 2 en un encuentro repleto de goles y bloopers disputado en el estadio Ciudad de Vicente López, por la primera fecha del torneo de la Liga Profesional, en el debut del ""Gringo"" Gabriel Heinze como entrenador del elenco rosarino.",Deportes
Liga Profesional: Instituto y empataron en Córdoba,Fue un partido discreto que terminó sin goles,"Instituto de Córdoba, en su retorno a la máxima categoría, y Sarmiento de Junín empataron este domingo sin goles, en un discreto encuentro correspondiente a la fecha inaugural de la Liga Profesional de fútbol (LPF). ",Deportes
"El primer ""blooper"" de la Liga Profesional: Lucas Hoyos y un insólito cálculo con las manos",El arquero de Newell's fue responsable del gol de Platense,"La Liga Profesional de Fútbol hizo su estreno esta semana. Y al igual de goles, asistencia, también hubo lugar para los bloopers. El primero de este torneo fue, sin dudas, el de Lucas Hoyos, flamante arquero de Newell's en el empate de su equipo 2 a 2 con Platense, en Vicente López.",Deportes
Dinamarca gana el Mundial de Handball tras superar a Francia en la final  ,"El equipo danés, que logró su tercer título consecutivo, se impuso ante los galos por 34 a 29","El seleccionado de Dinamarca alcanzó este domingo el tercer título consecutivo, al quedarse con el Mundial de Handball Suecia Polonia 2023, luego de superar en la final a su par de Francia por 34-29.",Deportes
Rodrigo De Paul fue titular y la rompió en el Atlético de Madrid,Dio la asistencia del triunfo del equipo de Simeone,"El Atlético de Madrid de Diego Simeone venció este domingo por  1 a 0 al Osasuna con una formidable asistencia del volante Rodrigo De Paul, quien fue titular y terminó elegido como la figura del partido correspondiente a la fecha 19 de LaLiga de España.",Deportes
Los Leones golearon a Gales y finalizaron novenos en el Mundial,"El equipo argentino se despidió del torneo invicto, con tres triunfos y tres empates","El seleccionado argentino masculino de hockey sobre césped, Los Leones, superó este sábado a Gales por 6-0 y terminó en el noveno puesto de la Copa del Mundo que se desarrolla en la India. Los goles argentinos fueron convertidos por Lucas Toscani (a los 15 minutos), Martín Ferreiro (29 y 49), Agustín Bugallo (31), Santiago Tarazona (37) y Maico Casella (38).",Deportes
