titulo,subtitulo,primer_parrafo,seccion
"Dólar blue hoy, dólar hoy: a cuánto cerraron el jueves 02 de febrero",El dólar blue ,"El dólar blue cerró su cotización esta jornada un 100.92% arriba del dólar oficial. Cotizó a $378,00 para la compra y $374,00 para la venta. El valor de la divisa extranjera en el mercado oficial fue de $186,14 y $195,14.En relación de la anterior jornada hábil, el blue continuó con tendencia alcista, ya que los valores de ese día fueron: $374,00 para la compra y $378,00 para la venta.",Economía
La fuerte definición política de Massa en Merlo,Qué dijo el ministro sobre los rumores respecto a su candidatura a Presidente ,"Promediando el asado político en Merlo, donde el casi todo el Frente de Todos acordó anoche cerrar filas en búsqueda de la unidad para encarar la campaña, el ministro de Economía, Sergio Massa, dio una fuerte definición política ante especulaciones varias sobre su intención de jugar en las presidenciales. ""Es incompatible ser ministro de Economía y candidato a presidente"", aseguró en la mesa, según contaron a Página I12 varios de los presentes. Fue, más que un anuncio, parte de una charla de prioridades en el frente de Gobierno, en el que todos coinciden hoy manda la necesidad de unidad para encarar un mano a mano con el macrismo, al que observan disperso y con ideas poco claras. ",Economía
"Plan de pago de deuda previsional: si la oposición no da quórum, podría salir por decreto.","Habló Fernanda Raverta, titular de la Anses","""Todos los días recibimos a hombres y mujeres que tienen la edad de jubilarse y les tenemos que decir que antes del 31 de diciembre era bien fácil y ahora es bien difícil"", resumió en una imagen la titular de la Administración Nacional de la Seguridad Social (Anses), Fernanda Raverta. Fue durante una exposición en la Comisión de Previsión y Seguridad Social para presionar a las y los diputados a sesionar una iniciativa necesaria para que 800.000 personas puedan jubilarse este año. Si la oposición no da quórum, podría salir por decreto.",Economía
La sombra de la Mesa de Enlace,La medida más importante por la sequía la consiguió un nuevo actor agropecuario,"Quizás sean los experimentos de ruptura del frente agropecuario los que más le han rendido al Gobierno de Alberto Fernández, en un escenario ""campo"" siempre conflictivo para el peronismo. Primero fue, en 2020, el nacimiento del Consejo Agroindustrial con las grandes cereales y economías regionales quebrando la lógica de no sentarse a la mesa de la política. Y el hecho más reciente es la inclusión de un nuevo actor rural a los convites a los que habitualmente iba sólo la Mesa de Enlace: la referencia es para la Mesa Agroalimentaria Nacional, un conglomerado de pequeños productores, muchos ex Federación Agraria, que tienen perfil negociador, carecen de la obsesión por pedir retenciones cero y han logrado llevarse la medida más importante del anuncio del ministro de Economía, Sergio Massa, para paliar los efectos de la sequía. ",Economía
Suba de los alimentos en enero,Dos consultoras señalan que fallan las regulaciones,"Los alimentos tuvieron una suba del 4,7 por ciento en enero de acuerdo al sondeo de Focus Market y del 6,6 por ciento en el caso de alimentos frescos, infoma el Centro de Estudios Económicos y Sociales Scalabrini Ortiz (CESO). El rubro de frutas y verduras acusó un incremento mayor, del 13,7 por ciento, según el relevamiento. En tanto que los productos más consumidos de otros rubros del consumo masivo marcaron alzas entre 9 y 29 por ciento mensual, informó Focus Market: los productos que están disponibles y son los más vendidos se alejan de la pauta de Precios Justos, aseguraron.",Economía
"Casi 2,3 billones en enero",Recaudación impositiva,"La recaudación impositiva ascendió a casi 2,3 billones de pesos en enero y registró de esta manera un aumento de 93,4% respecto a igual mes del año pasado, informó el Ministerio de Economía. Este aumento fue impulsado “principalmente por el desempeño de recursos asociados al mercado interno y a la seguridad social”, destacó la cartera económica en un comunicado.“En cuanto a los impuestos que otorgan progresividad al sistema, se expandieron en conjunto un 102,9%” en términos interanuales. En particular, el impuesto a los Bienes Personales, que superó los $23.500, y registró una suba de 331,4% ante la aplicación adicional del 25% sobre la compra de divisas a partir de octubre de 2022.En tanto, el Impuesto a las Ganancias registró un crecimiento de 97,8%, al sumar más de $471.800 producto del ingreso del pago a cuenta extraordinario realizado por las sociedades y la percepción aplicada a la compra de moneda extranjera dispuesta en julio.El IVA-DGI tuvo un aumento de 103% para alcanzar los $439.200 millones, mientras que el Impuesto a los Créditos y Débitos, con un alza de 97,4%, recaudó casi $156.000 millones.En cuanto a los recursos de la Seguridad Social la suba alcanzó a 105,4% interanual debido a que “se sostuvieron altas tasas de crecimiento, profundizando la tendencia expansiva observada en los últimos meses”.“Las mejoras salariales persisten como factor que explica dicha expansión”, aseguró el Ministerio de Economía.En cambio, la recaudación por derechos de exportación bajó 4,4% al superar los $65.100 millones, al tiempo que los de importación subieron 58% para casi redondear los $ 65.000 millones.",Economía
Suba de tasas en Estados Unidos,"La Fed elevó en 0,25 puntos el tipo de interés de referencia para el mundo","Las acciones en la Bolsa de Nueva York subieron este miércoles luego de que la Reserva Federal de los Estados Unidos (Fed) dispusiera un aumento de su tasa de referencia de solo 25 puntos básicos y, pese a señales de futuros nuevos ajustes, destacara que el proceso de desinflación había comenzado, lo que llevó tranquilidad a los inversores.",Economía
Cae la bolsa y el blue,Dólar y Mercados,"La Bolsa porteña bajó 0,98%, en una jornada en la que la suba de tasas de la Fed de 25 puntos básicos impulsó a los principales índices estadounidenses y le permitió al Merval “suavizar” la caída. Los dólares financieros se movieron a la baja, y en el caso del mercado informal se  verificó una caída de cuatro pesos del denominado ""blue"". En el mercado de deuda, los bonos en dólares cerraron la jornada con alzas de 25 centavos en promedio en toda la curva.Por su parte, los títulos en pesos ajustables por CER finalizaron con altibajos. En este marco, el riesgo país aumentó 0,2% hasta 1.821 puntos básicos.Respecto al mercado de cambios, el dólar oficial cerró con una cotización promedio de $194,95, con una suba de 60 centavos respecto del martes. En el mercado informal, el denominado dólar ""blue"" marcó un retroceso de cuatro pesos, llegando a $377 por unidad. En tanto, en el mercado bursátil, el dólar contado con liquidación (CCL) y el MEP registraron un descenso similar de 0,3%, cotizando al cierre a $366,42 y a $353,70, respectivamente.En el segmento mayorista, la divisa estadounidense finalizó con un incremento de 29 centavos respecto al cierre previo, en un promedio de $187,29. El Banco Central tuvo un resultado negativo de sus intervenciones en la primera jornada del mes, con ventas netas por u$s 42 millones.",Economía
"Privados, sin permisos",Litio en la Rioja,"El gobernador de La Rioja, Ricardo Quintela, decretó la suspensión de los permisos otorgados de cateo, prospección y exploración del litio en la provincia, en base a lo establecido por la Ley Provincial N° 10.608 que considera a este mineral como un recurso estratégico y de interés público.El decreto 63-23, publicado en el Boletín Oficial de la provincia, sostiene en los considerandos que ""es un deber de la provincia que investigue la disponibilidad de este recurso que, de existir con características comerciales, se incorpore desde una visión sustentable y sostenible como política pública del Estado”. En ese mismo sentido, estableció, que “estamos en presencia de un mineral escaso, no renovable, insustituible, esencial para la transición energética”.Al promulgar la ley provincial 10.608, en las primeras semanas de enero, Quintela había señalado que “la provincia está en condiciones de hacer la exploración y luego invitará a todas las empresas que quieran invertir, pero siempre que le convenga a los riojanos, a La Rioja, al país y a las empresas también"".",Economía
Cuenta DNI: cómo ahorrar hasta 48.000 pesos en febrero,Importantes descuentos en todo tipo de comercios,"La aplicación Cuenta DNI del Banco Provincia de Buenos Aires funciona como una billetera digital gratuita para que los usuarios puedan realizar operaciones comerciales las 24 horas desde su celular. Desde allí se pueden obtener importantes descuentos y, especialmente en este febrero, una familia de al menos tres integrantes podría ahorrar hasta 48.000 pesos.",Economía
"Dólar blue y dólar hoy: todas las cotizaciones de este miércoles 1 de febrero, minuto a minuto      ",El precio de compra y venta de la divisa      ,"El dólar blue cerró su cotización de este miércoles, primer día de febrero, a $377 para la venta y $373 para la compra. Por su parte, el dólar oficial cerró a $194,50 para la venta y $186,50 para la compra en el Banco Nación. Seguí minuto a minuto las cotizaciones del dólar.",Economía
"Dólar blue hoy, dólar hoy: a cuánto cerraron el miércoles 01 de febrero",El dólar blue baja $ ,"El dólar blue cerró su cotización esta jornada un 100.59% arriba del dólar oficial. Cotizó a $377,00 para la compra y $373,00 para la venta. El valor de la divisa extranjera en el mercado oficial fue de $185,95 y $194,95.Respecto de la anterior jornada hábil el blue registró una tendencia a la baja: donde cotizaba a $373,00 para la compra y $377,00 para la venta. El dólar blue cerró su cotización esta jornada un 100.59% arriba del dólar oficial.",Economía
Quiénes son los líderes de las importaciones vía medidas cautelares,"Michel, de Aduanas, apuntó que los textiles son los que más van a la Justicia a buscar dólares","El titular de la Dirección General de Aduanas (DGA), Guillermo Michel, afirmó que “el uso abusivo de medidas cautelares está concentrado en un 80 por ciento en el sector textil”, y adelantó que desde el organismo que conduce se encuentran trabajando en esas maniobras así como también en las de sobrefacturación de importaciones. En declaraciones radiales, el directivo sostuvo que también se trata de “un sector que se ha sobrestockeado”.Asimismo, explicó que al asumir el rol al frente de la DGA tuvo que atender “a una situación muy particular que era el tema de las cautelares”. Al respecto, comentó que “al asumir, había listo para dar despacho a 2.600 millones de dólares de importaciones con cautelares”.“Cuando analizamos una por una, nos encontramos con casos tan burdos, como el de una empresa textil que venía importando un promedio de 25 millones de dólares y tenía una cautelar por 142 millones de dólares, con lo cual qué peligro a la demora podría tener si estaba importando en solo seis meses las importaciones de cinco años”, destacó el funcionario.Michel aseguró además que desde la Aduana trabajan también sobre “maniobras de alquiler de cautelares y transferencia en zona primaria aduanera de mercadería, y se puso la lupa en analizar todas las maniobras de sobrefacturación de importaciones”.También se refirió a la situación de los neumáticos y expresó que existen dos problemáticas, “por un lado, el contrabando en el noroeste del país en donde todos los días se hacen operativos y ya llevamos incautadas 37.000 cubiertas, que a través de un convenio le donamos al Ministerio de Seguridad”.“Por otro lado, la otra maniobra que estamos detectando y sobre la que estamos trabajando es que muchas empresas argentinas que importan neumáticos están sobrefacturando las importaciones utilizando un trader, un intermediario comercial en el exterior”, agregó el titular de la Aduana. Además, destacó que frente a “planteos de sectores o cámaras respecto de que no hay importaciones, los números contrastan esto”. “Si se miran las importaciones de 2022, fueron de US$ 81.000 millones, y solo las de noviembre fueron de US$ 5.000 millones”, puntualizó Michel.",Economía
El FMI prevé que el PBI argentino crecerá 2%,"Por arriba de las potencias occidentales, pero menos que los gigantes asiáticos","Argentina crecerá 2 por ciento en 2023 según las proyecciones del FMI y se ubica así entre los países con mejores tasas de crecimiento, en un año que se caracterizará por signos de recesión a nivel mundial. Los pronósticos son acordes a los presentados meses atrás por el Banco Mundial y los del propio FMI en octubre, sin embargo son menos optimistas que los esbozados desde el ministerio de Economía pues esperan crecer 3 por ciento en 2023: “sería el tercer año de crecimiento consecutivo y Argentina hace mucho no crece tres años consecutivos”, señalaba Sergio Massa.",Economía
Sigue cayendo el valor de las propiedades,"Se necesitan 24,3 años de alquiler para recuperar la inversión inicial","Los precios de venta en CABA disminuyeron un 0,3 por ciento en enero y el valor del metro cuadrado se ubica en 2.193 dólares. Se trata del cuarto mes que registra una desaceleración en la caída de los precios. Desde octubre de 2022 los precios tienden a estabilizarse. ",Economía
"Coparticipación: CABA, la más beneficiada",Reparto desigual de la torta,"La Ciudad de Buenos Aires fue el distrito que más ganó en la repartija de la torta de la coparticipación en los últimos treinta años, producto de las medidas de Mauricio Macri y la cautelar de la Corte Suprema de Justicia. Creció 548 por ciento entre 1993 y 2022, en detrimento de otras provincias. Entre 2022 y 2023 pasará de recibir el 2,8 del total al 4,28 por ciento del total.",Economía
Massa anunció las medidas de emergencia para afrontar la sequía,Luego de una reunión en el Ministerio de Economía,"Luego de un encuentro entre las autoridades del Ministerio de Economía, encabezadas por Sergio Massa, y los representantes de la Mesa de Enlace, el Gobierno comunicó las medidas de apoyo al sector para paliar los efectos económicos adversos de la sequía. Mayormente, se trata de facilidades fiscales por parte de la AFIP y de financiamiento por medio del Banco Nación para los productores de zonas declaradas en emergencia.",Economía
Repunte salarial en noviembre,"En promedio, aumentaron 6,7%, contra 4,9% de inflación","Los salarios crecieron 6,7 por ciento en noviembre respecto del mes anterior, lo cual marca una aceleración respecto de octubre y también un aumento versus la inflación que fue 4,9 por ciento entonces. Todas las categorías de trabajadores lograron ganarle a la inflación: el salario de las y los trabajadores registrados del sector privado aumentó 7,3 por ciento mensual en noviembre, el de las y los no registrados subió 6,4 y el de las y los empleados del sector público aumentó 5,7 por ciento en el mes, según informó el Indec. ",Economía
"Acciones y títulos globales, ganadores del mes",Cierre de enero con la bolsa en alza,"El índice líder de la bolsa porteña registró a lo largo de enero un incremento de 25,47%.Este martes, en la última rueda del mes, el Merval cerró con una mejora de 3,12%, en línea con los mercados de referencia. En Nueva York, los papeles de compañías argentinas terminaron la sesión con mayoría de resultados positivos, entre las que se destacaron YPF, Banco Supervielle y Grupo Financiero Galicia.En el segmento de renta fija, los bonos en dólares cerraron con subas de 0,5% promedio. Mientras que, en el balance mensual, los títulos globales cerraron un gran mes con subas promedio del 23%. En cuanto a la deuda en pesos, los títulos en pesos con ajuste CER subieron 0,5% en promedio durante la jornada. Y en el acumulado mensual alzaron con una ganancia de 5,1% promedio. El riesgo país cerró la jornada en 1814 puntos.-En el mercado cambiario, la cotización del dólar oficial finalizó en $194,35 en promedio, con un aumento de 28 centavos. A lo largo de enero acumuló un incremento de $9,71, equivalente a una suba de 5,26% respecto al último día hábil de diciembre.El Banco Central finalizó la jornada con ventas por US$ 87 millones. Las pérdidas acumuladas durante el mes ascienden a US$ 190 millones.En el mercado bursátil, el dólar contado con liquidación (CCL) opera con una bajada de 0,6%, a $ 367,48 y el MEP registró un incremento de 0,2%, cerrando en $ 354,81. En tanto, en el segmento informal, el denominado dólar ""blue"" se negoció con una baja de dos pesos, a $381 por unidad, con lo que a lo largo de enero anotó un incremento de $25.",Economía
"Sequía: además de la Mesa de Enlace, fueron escuchados los reclamos del “campo que alimenta”","“Es lo que podemos en este momento”, dijo Sergio Massa","El ministro de Economía, Sergio Massa, comprometió ayuda estatal para los distintos sectores rurales afectados por la sequía. Las medidas están orientadas a satisfacer los pedidos de la Mesa de Enlace, que representa a las entidades ruralistas tradicionales, pero también fueron tenidas en cuenta las demandas de la Mesa Agroalimentaria Argentina (MAA), espacio que busca dar voz a los pequeños productores y cooperativas que hasta el momento no eran tenidas en cuenta.",Economía
"Dólar blue y dólar hoy: todas las cotizaciones de este martes 31 de enero, minuto a minuto     ",El precio de compra y venta de la divisa     ,"El dólar blue detuvo este lunes su escalada y cerró a $379 para la compra y $383 para la venta, tres pesos por debajo del viernes último. Por su parte, el dólar oficial operó a $184,75 para la compra y $192,75 para la venta en el Banco Nación. Seguí minuto a minuto las cotizaciones del dólar para este martes.",Economía
"Dólar blue hoy, dólar hoy: a cuánto cerraron el martes 31 de enero",El dólar blue baja $5 pesos ,"En relación de la anterior jornada hábil, el blue continuó con tendencia a la baja, ya que los valores de ese día fueron: $382,00 para la compra y $386,00 para la venta.",Economía
A la espera de los anuncios de Massa para el agro,Señales de apoyo al sector de parte del gobierno bonaerense,"Mientras se esperan por las nuevas medidas de parte del Gobierno Nacional de apoyo a la producción agropecuaria afectada por la sequía, el Ministerio de Desarrollo Agrario bonaerense informó que los productores de trece partidos de la provincia de Buenos Aires podrán acceder a los beneficios fiscales y financieros.",Economía
Mega acuerdo de precios en año electoral,Cómo es el pacto que se anuncia el viernes y va desde insumos a las góndolas,"El ministro de Economía, Sergio Massa, no quiere sobresaltos inflacionarios en año electoral para lo cual el viernes anunciará, junto al secretario de Comercio, Matías Tombolini, un mega acuerdo de precios con diferentes sectores económicos. Constará de una renovación del Plan Precios Justos hasta el 30 de junio, pero con un plus relevante. Tal como adelantó Página I12 en su edición del domingo, habrá un sendero de aumentos máximos permitidos de 3,2 por ciento para todo lo que esté afuera de la canasta de 2000 alimentos y bebidas congelados, con la novedad de que a esta pauta se le sumarán otros rubros de la economía que hasta ahora no estaban alcanzados. ",Economía
"Aumentos de febrero, con foco en los servicios","Luz, gas, celulares, internet, combustibles y prepagas.","El miércoles comienza febrero un mes que, salvo por factores excepcionales, no cuenta con una estacionalidad inflacionaria alta. La particularidad de este mes son los  aumentos en bienes y servicios regulados como tarifas de luz y gas, prepagas, telecomunicaciones y combustibles. También habrá aumentos en el servicio doméstico.",Economía
Por qué sube el precio de la carne,En 2022 subió menos que la inflación general,"Tras un segundo semestre de 2022 con aumentos mensuales significativamente por debajo de la inflación general, el sector cerró con un aumento acumulado de 42, 4 por ciento anual, muy por debajo de la inflación acumulada de 94,8 por ciento. En las últimas jornadas, en el Mercado de hacienda de Cañuelas (principal mercado concentrador) hubo saltos de hasta el 30 por ciento en el precio de algunas categorías de animales que se destinan para el consumo doméstico, que ya comenzaron a trasladarse al mostrador. ",Economía
Pago al FMI de u$s 710 millones por deuda de Macri,Primera parte de un total de u$s 1400 millones que vencen esta semana,"El gobierno nacional efectuó este lunes un pago al FMI por alrededor de 710 millones de dólares, que es parte de los vencimientos de la semana para la cancelación de deuda por capital e intereses por un total de 1400 millones de dólares. Estos vencimientos fueron pactados en el acuerdo que firmó el gobierno de Mauricio Macri a mediados de 2018 con el Fondo, que endeudó al país en más de 45 mil millones de dólares con un cronograma de pagos de imposible cumplimiento. Sólo este año, el gobierno debía afrontar pagos por 17.982 millones de dólares, incluyendo amortización de deuda e intereses. ",Economía
Bordet postergó un aumento de la luz,Preveía una suba del 20% para la distribución en febrero,"El gobernador de Entre Ríos, Gustavo Bordet, decidió este lunes suspender el aumento del 20 por ciento previsto en el componente provincial de las boletas del servicio de luz, con el objetivo de ""no generar una carga más al bolsillo"" de los usuarios y evitar ""una mayor inflación"".",Economía
"Dólar blue hoy, dólar hoy: a cuánto cotizan el lunes 30 de enero",El dólar blue baja $2 pesos ,"La cotización del dólar blue, $379,00 y $383,00, respectivamente. Con estos números la variación sitúa la brecha entre el dólar oficial y el dólar blue a 104.79%.En relación de la última jornada hábil, el blue continúa con tendencia a la baja ya que los valores fueron: $381,00 para la compra y $385,00 para la venta. El valor del dólar oficial hoy es de $185,07 para la compra y $194,07 para la venta, mientras que ",Economía
"Dólar blue y dólar hoy: todas las cotizaciones de este lunes 30 de enero, minuto a minuto    ",El precio de compra y venta de la divisa    ,"El dólar blue frenó su escalada y cerró a $379 para la compra y $383 para la venta, tres pesos por debajo del viernes último. En tanto, el dólar oficial operó a $184,75 para la compra y $192,75 para la venta en el Banco Nación.",Economía
Acuerdos salariales y convenciones colectivas en un año electoral,Temas de Debate: Negociaciones salariales 2023 y Mercado laboral (Primera nota),,Economía
La brecha de ingresos como estratificador social,Temas de Debate: Negociaciones salariales 2023 y mercado laboral (Segunda nota),"Luego del esquema de deterioro social y económico que nos legó el macrismo y tras la imprevisible pandemia por la Covid-19, en el año 2021 Argentina comenzó una recuperación de los principales indicadores económicos relativos al mercado de trabajo. De acuerdo con los datos del segundo trimestre de 2021 y 2022 (últimos disponibles) que provee la Encuesta Permanente de Hogares del Indec, la ocupación experimentó un crecimiento del 8,3 por ciento interanual, expresado en 967.075 nuevas ocupaciones asociadas al cuentapropismo (24,2 por ciento del total) y al empleo asalariado (75,8 por ciento). No casualmente, la contrapartida de esa situación es la tasa de desempleo más baja desde 2015 (6,9 por ciento de la Población Económicamente Activa), lo que expresa una intensa recuperación de la ocupación. Si bien se trata de excelentes noticias, nos dice poco sobre la calidad del empleo en Argentina. Para poder dar cuenta de ello debemos analizar con más detalle cómo se compone este crecimiento de la ocupación. ",Economía
Un monotributo a medida para profesionales tecno,Buscan incentivar la formalización de la exportación de servicios personales,"El monotributo tecnológico ingresó al temario de las sesiones extraordinarias de Diputados. Lo pagarán aquellas personas que vendan sus servicios al exterior declarando sus ingresos. Precisamente, el proyecto de ley busca generar incentivos a la declaración de esos ingresos a través de un tipo de cambio más favorable y facilitando el acceso a las prestacioes sociales del empleo registrado.",Economía
Recortes hasta en el Plan Procrear,"Caída de la inversión pública ejecutada del 38,3% en 2022","Las menores transferencias de capital a fondos fiduciarios, empresas públicas y provincias derivaron en una caída de la inversión ejecutada por el Estado del 38,3 por ciento en términos reales durante 2022, según cálculos de la Oficina de Presupuesto del Congreso (OPC). Al analizar el sobrecumplimiento de la meta fiscal de 2022 la OPC había advertido que los gastos de capital fueron determinantes para explicar la retracción del gasto real de la administración pública nacional en 7,4 por ciento en el año (y 19,5 por ciento en el último semestre).",Economía
Lidiar con la deuda,Informe del Banco Interamericano de Desarrollo,La deuda es uno de los principales puntos de tensión para la economía global en 2023 y en los países emergentes parece ser un punto crítico. Latinoamérica no queda afuera de esta situación y la semana pasada el Banco Interamericano de Desarrollo publicó un informe en el que consideró “alarmantes los niveles de endeudamiento en América latina y el Caribe”.,Economía
"""Buscamos transparentar el mercado""","Negri, de la CNV, habló de la pesquisa por los bonos","El presidente de la Comisión Nacional de Valores (CNV), Sebastián Negri, aseguró que la investigación por supuestas maniobras fraudulentas en la compra de bonos ""tiene como objetivo garantizar la transparencia del mercado"", y reafirmó que las conductas indebidas serán sancionadas.En una entrevista con la agencia de noticias Télam, Negri resaltó que ""será la investigación más importante de nuestra gestión"", y que por eso ""todo el equipo está comprometido por llegar a resultados y conclusiones lo antes posible"".En los próximos días, la CNV continuará con las audiencias a las sociedades de bolsa y luego seguirá el careo con personas físicas y empresas. Negri remarcó que ""estamos a disposición del Poder Judicial para brindar las explicaciones que se consideren"".",Economía
Las gambetas al congelamiento,Qué pasa con los precios en almacenes de barrios.,"Las góndolas de productos de consumo masivo, principalmente alimentos, bebidas, productos de limpieza e higiene personal, exhiben miles de productos, cientos de marcas, en diferentes formatos y hasta ofertas de productos ""premium"" en artículos como el aceite o el arroz. Pero esa diversidad de oferta se reduce a no más de cuatro o cinco empresas por familia de productos (por ejemplo, cuando hablamos de ""galletitas"" o ""fideos"" en general) cuando se identifica al fabricante de cada artículo. Detrás de este fenómeno, se oculta el principal drama para el consumidor: quién le pone el precio a cada producto. Y, en forma adicional, cómo se burlan los acuerdos de precios con el gobierno, diferenciando el precio del producto que se envía a las cadenas de comercialización adheridas a Precios Justos, del que rige para comercios de barrio (almacenes y autoservicios). Las diferencias para un mismo producto, en las últimas semanas, llegaron a superar el 100 por ciento. Es decir: una botella de agua o un paquete de arroz se ofrecía en cualquier almacén de barrio al doble del precio que el mismo producto, de la misma marca y el mismo formato, presentaba en hipermercados y en las listas de Precios Justos.",Economía
Las múltiples corridas que enfrenta el Gobierno ,"La trastienda política del movimiento del dólar, la investigación por los bonos y la pulseada de los precios","El fortalecimiento político interno en materia de decisiones económicas que operó tras la salida de Martín Guzmán y la designación de Sergio Massa -que llegó al cargo con consenso del Presidente y varias charlas con la vice, Cristina Fernández- podría ser analizado como un hecho positivo para la turbulenta convivencia del Frente de Todos, pero las blancas también juegan. Hay un factor, el mismo que aprovechó el escenario de confusión de junio del 2022 para sacar tajada, que sigue constante y pone a prueba la fortaleza de la estructura de Massa: los factores de poder, el mercado y los formadores de precios aceleraron el paso en año electoral y le generan al Gobierno una serie de “corridas” que le ponen a prueba la estabilidad política en un período en el que se empieza a jugar sus posibilidades electorales. “Nos pulsean todo el tiempo, lo vemos, pero el poder político lo tiene el ministro”, responden cerca del jefe de Hacienda, donde hay confianza casi ciega en el proceso de disputa con el Círculo Rojo.",Economía
