titulo,subtitulo,primer_parrafo,seccion
Científicos captaron las imágenes más nítidas de los anillos de Neptuno,"A través de ‘James Webb’, el supertelescopio de la NASA","A través del telescopio James Webb, la NASA consiguió las imágenes más nítidas de los anillos de Neptuno, el planeta más alejado del Sistema Solar, en más de 30 años. El hallazgo fue difundido a través las redes sociales de la agencia espacial. ",Ciencia
Un equipo de científicos argentinos desarrolla una terapia alternativa para cáncer de huesos,"Afecta principalmente a niños, niñas y adolescentes","En una investigación publicada en la revista Scientific Reports, científicas y científicos del Centro de Oncología Molecular y Traslacional (COMTra) de la Universidad Nacional de Quilmes (UNQ) estudiaron y desarrollaron una alternativa para tratar osteosarcoma, el cáncer de huesos más prevalente que afecta principalmente a niños, niñas y adolescentes. Para eso, la droga elegida fue propranolol, fármaco que originalmente se usa para tratar distintas enfermedades cardiovasculares como arritmia e hipertensión. Con este hallazgo validado en ratones, podrían bajarse las dosis de quimioterapia que actualmente se utilizan y resultan muy agresivas para el cuerpo humano. Además, el propranolol es barato y de fácil producción, en relación a otras opciones, porque ya no tiene patente.",Ciencia
Santa Fe: hallan restos fósiles de un gliptodonte de 10 mil años  ,Pesaba una tonelada y medía un metro y medio,"Los restos fósiles de un gliptodonte que pertenecen a una megafauna de hace 10 mil años fueron encontrados en una barranca del río Paraná, en la costa de la ciudad de San Lorenzo, en el sur de Santa Fe.",Ciencia
Estudiar la vida a través de la muerte: ¿Le donarías tu cuerpo a la ciencia?,Lo que sucede con el cuerpo de un donante,"El cuerpo humano nunca miente y, aunque pueda resultar extraño, puede cumplir con muchos propósitos científicos –y totalmente legales– después de la muerte. ¿Es posible, entonces, donarlo para que la ciencia lo estudie? ¿Qué implica este acto?",Ciencia
El deseo incontrolable de comer algo dulce por la noche: ¿Necesidad o capricho?,El modo en que el azúcar modula las emociones,"¿Qué sucede cuando el cuerpo llama al azúcar? ¿Hay que saciar el antojo de comerse un chocolate, un helado de dulce de leche, o una porción de fresco y batata después de cenar?¿Es una cuestión fisiológica o cultural? Muchas veces, después de comer, el cuerpo pide algo de azúcar y cuando saborea un pequeño bocado de algo dulce, experimenta una sensación de placer. ¿Por qué ocurre? Suele pasar que ante situaciones de ansiedad el ser humano sienta la necesidad de consumir un tipo de alimento que le provoque la liberación de dopamina y, por lo tanto, mejore el estado de ánimo. Pero el efecto placentero producido por el consumo de azúcar es muy corto, por lo que siente rápidamente la necesidad de volver a comer alimentos azucarados para aumentar la dopamina, creando un círculo vicioso del cual cada vez es más difícil salir.",Ciencia
Descubren restos de plantas acuáticas que habitaron la Patagonia hace 70 millones de años,El hallazgo de un equipo del Conicet en El Calafate,"Un equipo de investigadores e investigadoras de Conicet hallaron en las proximidades de la ciudad de El Calafate, provincia de Santa Cruz (específicamente en estratos de la Formación Chorrillo), restos vegetales de un ecosistema acuático de hace unos 70 millones de años. En diálogo con la Agencia de Noticias Científicas UNQ, el investigador del Museo Argentino de Ciencias Naturales “Bernardino Rivadavia” y autor principal del artículo, Ezequiel Vera, explica que parte de los hallazgos corresponden a plantas fósiles desconocidas hasta el momento en el Cretácico para Argentina.",Ciencia
"El misterioso ""pelo marciano"" que desconcierta a la NASA",El objeto fue recolectado por el robot Rover Perseverance,"Las imágenes captadas por el Rover Perseverance, la misión espacial lanzada para estudiar el suelo de Marte, no dejan de sorprender al mundo. Desde que pisó suelo en el ""planeta rojo"", el robot recolector de muestras envió imágenes de figuras misteriosas o estructuras inexplicables.",Ciencia
FIFA 23: el videojuego incluirá clubes femeninos y la próxima Copa Mundial,Hasta 2021 se vendieron 325 millones de copias,"A fines de septiembre se lanzará al mercado mundial el videojuego de fútbol FIFA 23. Entre varias novedades, las más destacadas pasan por la inclusión de las mujeres: podrán jugarse la liga inglesa y la liga francesa de fútbol femenino. También, se podrá disputar la Copa del Mundo que se realizará en Australia y Nueva Zelanda en 2023. Otra noticia importante es que en la tapa estará Sam Kerr, jugadora australiana del Chelsea, que acompañará al francés Kylian Mbappé. Según cifras publicadas por EA Sports (empresa creadora del FIFA), desde 1993 hasta principios de 2021, el juego había vendido un total de 325 millones de copias. Por eso, la progresiva presencia femenina en el simulador de deportes más jugado de la historia, es un hecho relevante.",Ciencia
Qué tienen los animales albinos y por qué son únicos,La diferencia con los de pelo blanco y cómo distinguirlos,"La extraña naturaleza no deja de sorprender: animales con ojos rojos o celestes, la piel rosada y el pelaje blanco, únicos y especiales. Aunque con poca frecuencia, el albinismo es una condición que se presenta en muchas especies. Para muestra vale recordar, el caso de Copito de Nieve, el gorila albino capturado en 1966 por el doctor Jordi Sabater Pi en la Selva de Nko, Guinea Ecuatorial, y cuyo descubrimiento produjo un verdadero revuelo. Copito fue el animal más visitado en el zoo de Barcelona hasta su muerte, en 2003.",Ciencia
"Un robot de la NASA detectó un ""objeto misterioso"" en Marte  ",Estudian su origen,"El rover Perseverance de la NASA detectó un ""objeto misterioso"" mientras exploraba la superficie de Marte: se trata de una materia enrollada, en forma de cuerda y de material no identificado. Los científicos aun no pudieron determinar la naturaleza exacta del objeto, pero estiman que puede tratarse de otro resto de una misión anterior.",Ciencia
Murciélagos: científicas argentinas detectan 35 nuevos virus,"Las claves de un mamífero con un sistema inmune ""impresionante""","Son los únicos mamíferos que tienen la capacidad de volar. Lo hacen alto, rápido y potente. Inmunidad y longevidad se suman a sus principales características. Y está prohibido matarlos porque juegan varios papeles importantes en la gestión ambiental: devoran toneladas de insectos portadores de enfermedades y son fundamentales para la polinización de muchas frutas. Sin embargo, estas criaturas solitarias, nocturnas y numerosas, están asociadas con el mal y las preocupaciones médicas.",Ciencia
"Por qué se nos ponen los pelos de punta: la estática y el fenómeno de las ""pataditas""",La explicación que brinda la ciencia,"¿A quién no le pasó alguna vez sufrir una especie de latigazo desesperante al bajar del auto, al tocar el picaporte de una puerta o, simplemente, al rozar a otra persona? Se trata de la electricidad estática, un fenómeno causado por el desequilibrio entre las cargas positivas y negativas que tiene todo lo que hay en el mundo, incluido el ser humano.",Ciencia
Impulsan un proyecto para detener el tráfico ilícito de meteoritos en Argentina ,Las claves de la iniciativa,"Los meteoritos dispersos como lluvia hace 4.000 años en la franja de 200 kilómetros conocida como Campo del Cielo, localizada en la frontera entre Chaco y Santiago del Estero, conforman el eje de un proyecto de ley que busca impulsar su preservación patrimonial, y que será presentado próximamente en el Congreso Nacional. La iniciativa busca convertirse “en una herramienta efectiva y de alcance nacional para proteger a los meteoritos del tráfico ilícito”, destacó la secretaria de Patrimonio Cultural, Valeria González.",Ciencia
Discalculia: ¿por qué algunas personas no pueden realizar cuentas matemáticas básicas?,Lo que sucede cuando el sentido numérico funciona distinto,"Suele decirse que la matemática es la disciplina científica más abstracta e incomprendida. Pero ¿qué pasa cuando esa incomprensión se traduce, por ejemplo, en una dificultad para aprender a sumar, a restar, a multiplicar y a dividir? Podría tratarse del trastorno del desarrollo neurológico conocido como discalculia. ",Ciencia
Copando orejas: ¿Qué pasa en el cerebro cuando se escucha una canción pegadiza?,Melodías que no podemos sacarnos de la cabeza,"Dicen que la música es la medicina para el alma y el cuerpo porque activa más partes del cerebro que cualquier otro estímulo humano. Pero ¿qué pasa cuando esa música comienza a taladrar la cabeza de manera insoportable? Hay melodías, simples, rítmicas, repetitivas y pegadizas, capaces de infectar el cerebro como un virus: son los gusanos auditivos, un término adoptado a partir de la traducción literal del vocablo alemán ohrwurm, que plasma de un modo gráfico su naturaleza invasora. En la literatura científica este fenómeno también recibe el nombre de “imaginería musical involuntaria”, composiciones musicales que se quedan adheridas al córtex auditivo del cerebro -encargado de procesar los sonidos- y la necesidad de tararear estas canciones funciona como una especie de “picor mental”, que solo se alivia repitiendo una y otra vez la melodía, y cuyo efecto puede durar horas o días.",Ciencia
De-extinción: ¿Qué pasaría si los dinosaurios volvieran a la vida?,El sueño de Jurassic Park que desvela a parte de la comunidad científica,"En Jurassic Park, la película del genial Steven Spielberg estrenada en los años 90, un magnate decide construir un parque temático de dinosaurios. Para lograrlo, invierte mucho dinero destinado a que los científicos desarrollen un método que permita recuperar sangre de dinosaurio almacenada en el abdomen de mosquitos que hubieran sido atrapados en resina. A partir de esta sangre se aísla el ADN y se rellena con ADN de anfibios la información que el paso del tiempo hubiera deteriorado. Una vez completado el ADN solo queda clonar al organismo y hacerles nacer hembras incapaces de reproducirse entre sí. ¿Cuánto de todo lo que pasa en la famosa película es replicable por la ciencia de no ficción?",Ciencia
El legado de la oveja Dolly: ¿Usted clonaría a su mascota?,Controversias y potencialidades,"La clonación animal constituye uno de los campos científicos que más avanza en las últimas décadas. Este proceso utiliza el material genético de un ser vivo para crear una copia idéntica. En esencia, busca copiar algo que la naturaleza ya había creado. En diálogo con la Agencia de noticias científicas de la UNQ, Daniel Salamone, médico veterinario e investigador del Conicet, especialista en clonación y técnicas de reproducción asistida, lo explica así: “La clonación animal es la creación de un animal gemelo a uno preexistente, es decir, un gemelo diferido en el tiempo. Es hacer una copia idéntica, con las mismas características de un gemelo, pero muchos años después”. A diferencia de la manipulación genética, la clonación no actúa al nivel de las moléculas, sino de las células y sus partes. ",Ciencia
Perros de asistencia: ¿cómo se seleccionan y entrenan estos animales tan singulares?,Cuáles son las razas más empleadas,"Guías y fieles compañeros, los perros de servicio son como una extensión del cuerpo humano que los está utilizando, ya que favorecen la autonomía de personas con discapacidad o con enfermedades que limitan su cotidianeidad.",Ciencia
Siestas cortas: ¿Por qué la ciencia recomienda dormir entre 15 y 45 minutos?,Representan un beneficio para la memoria,"Mientras que para muchas personas la siesta es algo casi religioso y sagrado, para muchas otras resulta una utopía. Este descanso no es un hábito perjudicial para las personas. Al contrario, si se realiza durante un tiempo y un horario determinado, puede favorecer la atención, el aprendizaje y el buen humor. ¿Qué tienen para decir los científicos y las científicas al respecto?",Ciencia
¿Qué pasa en el cerebro cuando olvidamos las contraseñas?,La neurociencia busca explicar un problema cotidiano,"Se sabe que el olvido es algo innato al ser humano, y que es un suceso tan habitual como el recuerdo. Sin embargo, se conoce muy poco sobre lo que sucede en el cerebro cuando lo que se olvida son cosas tan cotidianas e importantes como las contraseñas para acceder al correo electrónico y al home banking o las llaves para entrar a la casa. ¿A qué se deben los fallos menores en la memoria, tan comunes en todas las edades? “Muchas veces no es que nos olvidamos de las cosas si no que no somos capaces de evocarlas. Es decir, adquirimos una información la cual se codificó y almacenó correctamente, pero después tenemos problemas”, explica a la Agencia de noticias científicas de la UNQ la bióloga Malen Moyano, becaria del Conicet en el Laboratorio de sueño y de memoria del Instituto Tecnológico de Buenos Aires.",Ciencia
Día de la Esclerosis Múltiple: ¿De qué manera la pandemia afectó su diagnóstico?,En Argentina hay 17 mil personas con la enfermedad,"Cada 30 de mayo se conmemora el Día Internacional de la Esclerosis Múltiple (EM), una enfermedad neurológica crónica que afecta al sistema nervioso central. Según la Federación Internacional de Esclerosis Múltiple, hay más de 2.8 millones de personas diagnosticadas en el mundo. En diálogo con la Agencia de noticias científicas de la UNQ, la directora ejecutiva de Esclerosis Múltiple Argentina, Johana Bauer, cuenta que en Argentina hay alrededor de 17 mil personas diagnosticadas. “Al compartir algunos síntomas con otras enfermedades, a veces se reconoce un poco tarde la esclerosis. Además, su origen es desconocido, lo que dificulta el acceso a una cura”, subraya.",Ciencia
Inteligencia artificial: ¿para qué sirve el aprendizaje automático?,Algoritmos tontos y poderosos,"Gracias al avance de la informática, la inteligencia artificial y el aprendizaje automático llegaron para quedarse. ¿Cuáles son las ventajas y las aplicaciones actuales? Lo que comúnmente se conoce como “deep learning” o “aprendizaje automático” remiten a un conjunto de técnicas, una familia de algoritmos que enseñan a las computadoras a hacer una tarea determinada. “Es un aprendizaje diferente al que realizan los seres humanos: si yo le digo a un niño ‘esto es amarillo’ tres o cuatro veces, ya lo entiende y lo aprende. En cambio, la computadora es probable que necesite unos cientos de miles de ejemplos, es un aprendizaje estadístico”, explica a la Agencia de noticias científicas de la UNQ, Emmanuel Iarussi, ingeniero en informática, Investigador del Conicet del Laboratorio de Inteligencia Artificial de la Universidad Torcuato Di Tella.",Ciencia
Nomofobia: cómo es el terror a vivir sin el celular,¿Por qué hay gente que no tolera estar desconectada?,"La nomofobia se considera un trastorno del mundo moderno y hace referencia al miedo o la ansiedad extrema de carácter irracional que se origina cuando una persona permanece mucho tiempo sin poder usar su teléfono celular. Esto se extiende a quedarse sin batería, sin cobertura, datos o saldo y, por supuesto, a perder el dispositivo. Al igual que otras fobias, se manifiesta a través de síntomas comunes como el miedo, el nerviosismo o la angustia, pero también con otros como taquicardias, dolor de cabeza, dolor de estómago o pensamientos obsesivos.",Ciencia
Científicos descubren cómo las personas ciegas calibran el espacio auditivo a través del tacto,Una investigación que despierta los sentidos,"Un estudio reciente realizado por investigadores de la Universidad Nacional de Quilmes (UNQ) y de la Universidad Nacional de Tres de Febrero (UNTREF) demostró que, en ausencia de visión, el espacio auditivo puede ser calibrado por información táctil y propioceptiva, que es la capacidad que tiene el cerebro de saber la posición exacta de todas las partes del cuerpo. Los hallazgos, que fueron publicados recientemente en la prestigiosa revista Journal of Experimental Psychology: Human Perception and Performance (American Psychological Association – APA), exhibieron que las personas ciegas fueron más precisas que las personas con visión para percibir la distancia de parlantes ubicados dentro del espacio peripersonal, es decir, al alcance de la mano del oyente. ",Ciencia
Tinto y blanco: cómo impacta el vino en la salud y qué aportes hace la ciencia,De la recomendación de René Favaloro al presente,"Argentina, con un consumo de 22 litros anuales por habitante, ocupa el séptimo lugar a nivel mundial. En el país, la vitivinicultura genera más de 106 mil puestos de trabajo directos y 280 mil indirectos. Siendo una de las diez principales cadenas exportadoras, las botellas con vinos argentinos arriban a 127 países, principalmente a Estados Unidos, Reino Unido, Canadá, Brasil y Países Bajos. ¿Hay alguna recomendación de cuánto tomar? ¿Influye la calidad del vino a la hora de pensar en cómo afecta a la salud?",Ciencia
Perros: nueva evidencia científica demuestra que las razas no determinan sus comportamientos,La investigación fue publicada en la revista Science,"“El pitbull es muy agresivo”, “El beagle es el perro más tonto de todos”, “El labrador es gentil e inteligente”… Estas son solo algunas de las frases más recurrentes que se escuchan sobre la conducta de los perros. Sin embargo, un estudio publicado recientemente en la revista científica Science demuestra que no es la raza de los caninos la que determina su comportamiento, sino el entorno. Según el artículo, solo el 9 por ciento de las diferencias de personalidad entre los perros estaban relacionadas con su raza.",Ciencia
¿De qué manera los eclipses permiten avanzar en el conocimiento del cosmos?,Un fenómeno propicio para divulgar ciencia,"Este sábado, una vez más, la sociedad será testigo de un nuevo espectáculo astronómico. Desde parte de América del Sur y la Antártida se podrá ver el primer eclipse solar parcial del año, que ocurrirá antes y durante la puesta del sol, pasadas las 17 (hora de Argentina). Este tipo de suceso ocurre cuando la Luna se interpone entre la estrella más grande del Sistema Solar y la Tierra. En este marco, el interrogante es el siguiente: ¿por qué llaman tanto la atención los fenómenos astronómicos? Las respuestas pueden ser múltiples, pero una que sin dudas suelen compartir los especialistas en la materia es que la astronomía es una de las pocas ciencias en la que hasta los aficionados pueden participar. Solo basta con mirar el cielo y pronto sucede la magia: se podrá observar el Sol, la Luna, planetas como Venus o Marte, y constelaciones de estrellas, como el cinturón de Orión.",Ciencia
Desarrollo 100% argentino: una nueva plataforma para detectar múltiples enfermedades,Fue diseñada por científicos de la Universidad Nacional de Quilmes,"D3 o “D-cubo” significa “Diagnostic Detection Device” (Dispositivo de Detección y Diagnóstico) y se trata, ni más ni menos, de una plataforma de diagnóstico sencilla, rápida y accesible, que podrá ser utilizada en salas de primeros auxilios y en laboratorios pequeños. Fue diseñada por investigadores de la Universidad Nacional de Quilmes y, aunque está en fase de prototipo, en poco tiempo podrá ser empleada con el objetivo de diagnosticar diversas enfermedades. “Hasta el momento pudimos diagnosticar exitosamente dengue y clamidia, una enfermedad de transmisión sexual. También pudimos detectar exitosamente covid y estamos trabajando en otros patógenos humanos y veterinarios”, detalla a la Agencia de noticias científicas de la UNQ el biotecnólogo Julián Bergier. En el futuro, a partir de pequeñas modificaciones, la plataforma podría utilizarse para la detección de enfermedades genéticas y cáncer.",Ciencia
¿Por qué hay que tomar los remedios en el horario indicado?: científicos argentinos buscan la respuesta con un fármaco para el cáncer,La neurociencia aplicada a la salud,"En las consultas, los profesionales de la salud recetan medicamentos que deben ser tomados por los pacientes cada cierta cantidad de horas por determinado tiempo. Sin embargo, en el día a día, las personas no suelen cumplir a rajatabla la prescripción médica. En este sentido, investigadores e investigadoras de la Universidad Nacional de Quilmes (UNQ) indagan acerca de cómo aumenta la eficacia de una droga según el horario en que es suministrada y revelan la importancia de cumplir con dichos intervalos. Desde la UNQ, el Laboratorio de Cronobiología que lidera el neurocientífico Diego Golombek explora la administración de una droga, desarrollada en la misma institución, contra un tumor cancerígeno que afecta al cerebro. Al respecto, la biotecnóloga Laura Trebucq, referente del trabajo, cuenta: “Descubrimos que si los ratones ingieren la droga durante la noche, se frena la proliferación de las células tumorales”. De confirmarse los mismos resultados en humanos, esta investigación podría funcionar en otros medicamentos que traten diversas patologías.",Ciencia
¿Por qué las abejas son indispensables para la vida humana?,Existen más de 20 mil especies distintas,"Cuando se piensa en abejas aparece la imagen de la colmena poblada de individuos con características y roles específicos. Aunque al ojo humano las reinas, las obreras y los zánganos, parezcan lo mismo, la realidad es que no lo son. De hecho, la heterogeneidad es mucho mayor. Para hacerse una idea existen más de 20 mil especies que se encuentran distribuidas en todos los continentes, con excepción de la Antártida. Constituyen un universo tan particular como atractivo; por este motivo, para poder aprender más sobre el modo en que se socializan estos animales y lo fundamentales que son en la vida humana, la Agencia de noticias científicas de la Universidad Nacional de Quilmes conversó con Mariano Lucia, investigador del Conicet de la División Entomología de la Facultad de Ciencias Naturales y Museo de la Universidad Nacional de La Plata.",Ciencia
"Un enorme asteroide ""potencialmente peligroso"" pasará cerca de la Tierra","Estará ""solo"" a 7,5 millones de kilómetros de distancia","Un nuevo asteroide de gran tamaño tendrá un acercamiento relativamente cercano con La Tierra en los próximos días y es “potencialmente peligroso”, según lo calificó la NASA. Se trata del asteroide 138971 (2001 CB21), que mide alrededor de 1300 metros de ancho, y es estima que pasará el próximo 4 de marzo a una distancia de 7,5 millones de kilómetros.",Ciencia
Cambio climático: detectaron un pez tropical en el Círculo Polar Ártico,Suele habitat aguas templadas y tropicales,"Un pez tropical, el malcarado de Parin (Diretmichthys parini), que vive en aguas profundas, fue detectado cerca del Polo Ártico. Según informó este jueves un organismo marítimo francés, su paradero podría estar vinculado al cambio climático.",Ciencia
"Leonardo, el cometa que ‘rozará’ la Tierra y podrá verse a simple vista este fin de semana",Es el más brillante del 2021,"El cometa C/2021A1, bautizado Leonardo por su descubridor, Gregory J. Leonard, podrá verse en Sudamérica a mediados de diciembre, entre el 12 y 14, cuando estará en su punto más cercano con respecto a la Tierra.",Ciencia
