,Unnamed: 0.1,Unnamed: 0,titulo,subtitulo,primer_parrafo,seccion,all_text
10,10.0,10.0,Una ciencia justa e igualitaria es también soberanía,Día Internacional de la Mujer y la Niña en la Ciencia,nan,Sociedad,Una ciencia justa e igualitaria es también soberanía Día Internacional de la Mujer y la Niña en la Ciencia nan
11,11.0,11.0,Veredicto de culpabilidad en el crimen de Lucio,La mamá y su pareja enfrentaban cargos por homicidio triple y doblemente agravado,"""El sistema le ha fallado a Lucio en muchos aspectos --sostuvo Silvia Gómez, la abuela de Lucio Dupuy al finalizar la audiencia donde se conoció la sentencia del juicio por el asesinato del niño--. No queremos que haya otro Lucio en el mundo, ahora luchamos por eso” explicó luego de conocer el veredicto que leyó este mediodía, la presidenta del Tribunal de Audiencias pampeano, Alejandra Ongaro, en la ciudad de Santa Rosa. El llanto de Chrístian Dupuy, el padre del Lucio, humanizaba la escena en la Sala de Audiencias de esta Ciudad Judicial. Mientras las dos acusadas escuchaban el veredicto en modo virtual, desde el penal de San Luis donde están detenidas. ",Sociedad,"Veredicto de culpabilidad en el crimen de Lucio La mamá y su pareja enfrentaban cargos por homicidio triple y doblemente agravado ""El sistema le ha fallado a Lucio en muchos aspectos --sostuvo Silvia Gómez, la abuela de Lucio Dupuy al finalizar la audiencia donde se conoció la sentencia del juicio por el asesinato del niño--. No queremos que haya otro Lucio en el mundo, ahora luchamos por eso” explicó luego de conocer el veredicto que leyó este mediodía, la presidenta del Tribunal de Audiencias pampeano, Alejandra Ongaro, en la ciudad de Santa Rosa. El llanto de Chrístian Dupuy, el padre del Lucio, humanizaba la escena en la Sala de Audiencias de esta Ciudad Judicial. Mientras las dos acusadas escuchaban el veredicto en modo virtual, desde el penal de San Luis donde están detenidas. "
12,12.0,12.0,"Arañas gigantes en Pinamar: qué son las ""sparassidae"" y dónde hay en Argentina",La especie se volvió viral en las redes sociales,"Una mujer se volvió viral este martes luego de que publicara la foto de una araña gigante que se encontró en el lugar que eligió para pasar las vacaciones, en la ciudad balnearia de Pinamar.",Sociedad,"Arañas gigantes en Pinamar: qué son las ""sparassidae"" y dónde hay en Argentina La especie se volvió viral en las redes sociales Una mujer se volvió viral este martes luego de que publicara la foto de una araña gigante que se encontró en el lugar que eligió para pasar las vacaciones, en la ciudad balnearia de Pinamar."
13,13.0,13.0,Alarma: más del 35% de los humedales del mundo desaparecieron en los últimos 50 años ,Día Mundial de los Humedales,"Más del 35 por ciento de los humedales del mundo desaparecieron en los últimos 50 años, informó la ONG Fundación Humedales (Wetlands International), en un estudio difundido este miércoles en el marco del Día Internacional de los Humedales.  ",Sociedad,"Alarma: más del 35% de los humedales del mundo desaparecieron en los últimos 50 años  Día Mundial de los Humedales Más del 35 por ciento de los humedales del mundo desaparecieron en los últimos 50 años, informó la ONG Fundación Humedales (Wetlands International), en un estudio difundido este miércoles en el marco del Día Internacional de los Humedales.  "
14,14.0,14.0,Aumentó Spotify: cuál es el precio con impuestos que se pagará en Argentina,La empresa reportó 456 millones de usuarios activos mensuales,"Spotify es el servicio de streaming de música, audiolibros y podcast más elegido por usuarios alrededor del mundo. A finales del año pasado, el CEO de la plataforma, Daniel Ek, había anunciado que para 2023 habría aumentos en todos sus planes.",Sociedad,"Aumentó Spotify: cuál es el precio con impuestos que se pagará en Argentina La empresa reportó 456 millones de usuarios activos mensuales Spotify es el servicio de streaming de música, audiolibros y podcast más elegido por usuarios alrededor del mundo. A finales del año pasado, el CEO de la plataforma, Daniel Ek, había anunciado que para 2023 habría aumentos en todos sus planes."
15,15.0,15.0,"La historia de Ramón Carrillo, el ""negrocirujano"" que será la cara de los billetes de dos mil pesos",El hombre que revolucionó la salud pública,"“Mire Carrillo, me parece increíble que tengamos un Ministerio de Ganadería para cuidar a las vacas y que no haya un organismo de igual jerarquía para cuidar la salud de la gente”. El comentario mordaz de Juan Perón será el preámbulo de una política de Estado inédita en materia de Salud, cuando en 1946 una insignificante Dirección Nacional sea convertida en Secretaría de Salud Pública y, tras la reforma constitucional de 1949, en Ministerio, al frente de los cuales el Presidente designará a Ramón Carrillo. La decisión resultará estratégica. Santiagueño de vieja cepa, este brillante neurocirujano –soy ‘negrocirujano’, se autodefinía con sorna– fundará las bases de la medicina preventiva mediante un plan integral que ubicó a la Argentina en la vanguardia de las naciones más avanzadas en la materia; como parte de los Planes Quinquenales abarcó la totalidad del territorio, contemplando sus características culturales y geo-climáticas para trazar un preciso mapa sanitario del país. Uno de sus más célebres discípulos, Raúl Matera, sostenía al respecto: “Desde su labor ministerial, puede dividirse la política nacional sanitaria en dos épocas: antes y después de Carrillo”.",Sociedad,"La historia de Ramón Carrillo, el ""negrocirujano"" que será la cara de los billetes de dos mil pesos El hombre que revolucionó la salud pública “Mire Carrillo, me parece increíble que tengamos un Ministerio de Ganadería para cuidar a las vacas y que no haya un organismo de igual jerarquía para cuidar la salud de la gente”. El comentario mordaz de Juan Perón será el preámbulo de una política de Estado inédita en materia de Salud, cuando en 1946 una insignificante Dirección Nacional sea convertida en Secretaría de Salud Pública y, tras la reforma constitucional de 1949, en Ministerio, al frente de los cuales el Presidente designará a Ramón Carrillo. La decisión resultará estratégica. Santiagueño de vieja cepa, este brillante neurocirujano –soy ‘negrocirujano’, se autodefinía con sorna– fundará las bases de la medicina preventiva mediante un plan integral que ubicó a la Argentina en la vanguardia de las naciones más avanzadas en la materia; como parte de los Planes Quinquenales abarcó la totalidad del territorio, contemplando sus características culturales y geo-climáticas para trazar un preciso mapa sanitario del país. Uno de sus más célebres discípulos, Raúl Matera, sostenía al respecto: “Desde su labor ministerial, puede dividirse la política nacional sanitaria en dos épocas: antes y después de Carrillo”."
16,16.0,16.0,Netflix: cómo es el nuevo plan para evitar las cuentas compartidas,La persecución a los usuarios,"Netflix comenzó a testear un nuevo método para frenar el uso compartido de cuentas, objetivo que viene persiguiendo desde hace tiempo sin éxito. La prueba se realiza en Chile, Perú y Costa Rica.",Sociedad,"Netflix: cómo es el nuevo plan para evitar las cuentas compartidas La persecución a los usuarios Netflix comenzó a testear un nuevo método para frenar el uso compartido de cuentas, objetivo que viene persiguiendo desde hace tiempo sin éxito. La prueba se realiza en Chile, Perú y Costa Rica."
17,17.0,17.0,Ley Lucio: en qué consiste el proyecto que busca prevenir el maltrato infantil ,A raíz del caso del niño de 5 años asesinado en La Pampa,"El pasado jueves 26 de enero se oficializó la incorporación de la Ley Lucio en el temario de las sesiones extraordinarias del Congreso nacional. El proyecto de capacitación obligatoria en los tres poderes del Estado para la detección temprana de violencia infantil fue impulsado a raíz del caso de Lucio Dupuy, el niño que fue presuntamente asesinado en La Pampa por su madre, Magdalena Espósito Valenti, y su pareja, Abigail Páez.",Sociedad,"Ley Lucio: en qué consiste el proyecto que busca prevenir el maltrato infantil  A raíz del caso del niño de 5 años asesinado en La Pampa El pasado jueves 26 de enero se oficializó la incorporación de la Ley Lucio en el temario de las sesiones extraordinarias del Congreso nacional. El proyecto de capacitación obligatoria en los tres poderes del Estado para la detección temprana de violencia infantil fue impulsado a raíz del caso de Lucio Dupuy, el niño que fue presuntamente asesinado en La Pampa por su madre, Magdalena Espósito Valenti, y su pareja, Abigail Páez."
18,18.0,18.0,"Juicio Lucio Dupuy: qué es reclusión perpetua, cuántos años son y libertad condicional",La madre y la pareja fueron declaradas culpables de homicidio,"Los jueces del Tribunal de Santa Rosa, La Pampa, Alejandra Ongaro, Andrés Olié y Daniel Sáez Zamora declararon culpables de homicidio triple y doblemente agravado a Magdalena Espósito y Abigail Pérez, la madre de Lucio Dupuy, el niño de 5 años asesinado, y su pareja, que también fue declarada culpable por el delito de abuso sexual con acceso carnal agravado por ser su ""guardadora"" y por haber sido contra un menor. La única pena posible para esos delitos es la reclusión perpetua: qué es, cuántos años son y libertado condicional y cuándo se conocerá la sentencia.",Sociedad,"Juicio Lucio Dupuy: qué es reclusión perpetua, cuántos años son y libertad condicional La madre y la pareja fueron declaradas culpables de homicidio Los jueces del Tribunal de Santa Rosa, La Pampa, Alejandra Ongaro, Andrés Olié y Daniel Sáez Zamora declararon culpables de homicidio triple y doblemente agravado a Magdalena Espósito y Abigail Pérez, la madre de Lucio Dupuy, el niño de 5 años asesinado, y su pareja, que también fue declarada culpable por el delito de abuso sexual con acceso carnal agravado por ser su ""guardadora"" y por haber sido contra un menor. La única pena posible para esos delitos es la reclusión perpetua: qué es, cuántos años son y libertado condicional y cuándo se conocerá la sentencia."
19,19.0,19.0,Juicio por el crimen de Lucio Dupuy: las dos acusadas son culpables ¿cuándo y a qué hora se conocerá la sentencia?,Homicidio agravado y abuso sexual,"La Justicia de La Pampa resolvió este jueves que Magdalena Espósito Valenti y su pareja Abigail Páez son culpables de asesinar al menor Lucio Dupuy, de 5 años. Si bien aún no se leyó la sentencia, que se dará a conocer el 13 de febrero, la única pena prevista para este delito es la prisión perpetua. ",Sociedad,"Juicio por el crimen de Lucio Dupuy: las dos acusadas son culpables ¿cuándo y a qué hora se conocerá la sentencia? Homicidio agravado y abuso sexual La Justicia de La Pampa resolvió este jueves que Magdalena Espósito Valenti y su pareja Abigail Páez son culpables de asesinar al menor Lucio Dupuy, de 5 años. Si bien aún no se leyó la sentencia, que se dará a conocer el 13 de febrero, la única pena prevista para este delito es la prisión perpetua. "
20,20.0,20.0,Juicio Lucio Dupuy: cuándo se van a conocer las penas,La madre del niño y su pareja fueron declaradas culpables,"El Tribunal de Santa Rosa —conformado por los jueces Alejandra Ongaro, Andrés Olié y Daniel Sáez Zamora— declaró a Magdalena Espósito Valenti, madre de Lucio Dupuy,  y su pareja, Abigail Páez, son culpables . A la primera la responsabilizaron de ""homicidio calificado"" mientras que a la segunda le sumaron también el delito de ""abuso sexual ultrajante"". Las penas se darán a conocer el 13 de febrero.",Sociedad,"Juicio Lucio Dupuy: cuándo se van a conocer las penas La madre del niño y su pareja fueron declaradas culpables El Tribunal de Santa Rosa —conformado por los jueces Alejandra Ongaro, Andrés Olié y Daniel Sáez Zamora— declaró a Magdalena Espósito Valenti, madre de Lucio Dupuy,  y su pareja, Abigail Páez, son culpables . A la primera la responsabilizaron de ""homicidio calificado"" mientras que a la segunda le sumaron también el delito de ""abuso sexual ultrajante"". Las penas se darán a conocer el 13 de febrero."
21,21.0,21.0,Alerta del SMN por fuertes lluvias y  tormentas en la Costa Atlántica,Se pronostican precipitaciones de hasta 45 milímetros,"El Servicio Meteorológico Nacional (SMN) emitió alertas amarillas por temperaturas extremas para algunas zonas de Misiones, Corrientes, Chaco, Santa Fe, Neuquén, Río Negro, Chubut, Santa Cruz y Tierra del Fuego; mientras que rige otro alerta por lluvias y tormentas para las provincias de Jujuy, Salta, Tucumán, Santiago del Estero, Catamarca, La Rioja y Buenos Aires.",Sociedad,"Alerta del SMN por fuertes lluvias y  tormentas en la Costa Atlántica Se pronostican precipitaciones de hasta 45 milímetros El Servicio Meteorológico Nacional (SMN) emitió alertas amarillas por temperaturas extremas para algunas zonas de Misiones, Corrientes, Chaco, Santa Fe, Neuquén, Río Negro, Chubut, Santa Cruz y Tierra del Fuego; mientras que rige otro alerta por lluvias y tormentas para las provincias de Jujuy, Salta, Tucumán, Santiago del Estero, Catamarca, La Rioja y Buenos Aires."
22,22.0,22.0,Censo 2022: los 5 datos curiosos de la población de Argentina,El INDEC dio a conocer los datos,"Los datos provisorios del Censo 2022, que se difundieron oficialmente este martes, permite obtener algunos datos curiosos de la distribución de la población en la Argentina: los distritos menos poblados, aquellos que fueron censados por primera vez, cuántas personas viven en la Antártida, dónde hay más mujeres que hombres y más viviendas particulares por cantidad de habitantes.",Sociedad,"Censo 2022: los 5 datos curiosos de la población de Argentina El INDEC dio a conocer los datos Los datos provisorios del Censo 2022, que se difundieron oficialmente este martes, permite obtener algunos datos curiosos de la distribución de la población en la Argentina: los distritos menos poblados, aquellos que fueron censados por primera vez, cuántas personas viven en la Antártida, dónde hay más mujeres que hombres y más viviendas particulares por cantidad de habitantes."
23,23.0,23.0,Crónica de un día con cipayos  ,nan,"La 7ª Marcha al controvertido lago, y territorio, en la Provincia de Río Negro, adonde asistieron centenares de personas de una docena de provincias, incluso muy lejanas, resultó sorpresiva en varios sentidos.",Sociedad,"Crónica de un día con cipayos   nan La 7ª Marcha al controvertido lago, y territorio, en la Provincia de Río Negro, adonde asistieron centenares de personas de una docena de provincias, incluso muy lejanas, resultó sorpresiva en varios sentidos."
24,24.0,24.0,Caso Lucio Dupuy: declaran culpables a la madre y su novia,Juicio por el crimen del nene de 5 años en La Pampa,"Este jueves se conoció el veredicto del juicio por el crimen de Lucio Dupuy, el nene de 5 años que murió en La Pampa el 26 de noviembre de 2021 tras recibir una fuerte golpiza.",Sociedad,"Caso Lucio Dupuy: declaran culpables a la madre y su novia Juicio por el crimen del nene de 5 años en La Pampa Este jueves se conoció el veredicto del juicio por el crimen de Lucio Dupuy, el nene de 5 años que murió en La Pampa el 26 de noviembre de 2021 tras recibir una fuerte golpiza."
25,25.0,25.0,Efemérides de hoy: qué pasó un 2 de febrero,Hechos que ocurrieron en la Argentina y el mundo,En las efemérides del 2 de febrero sobresalen estos hechos que ocurrieron un día como hoy en la Argentina y el mundo:,Sociedad,Efemérides de hoy: qué pasó un 2 de febrero Hechos que ocurrieron en la Argentina y el mundo En las efemérides del 2 de febrero sobresalen estos hechos que ocurrieron un día como hoy en la Argentina y el mundo:
26,26.0,26.0,Alerta por la presencia de una babosa tóxica en las playas de Gesell y Pinamar,La Pleurobranchaea maculata libera toxinas que pueden ser mortales para los animales que las comen,"Vómitos, ataxia, convulsiones y temblores. Si un perro muestra este tipo de síntomas poco después de haber ido a la playa, hay que preocuparse: puede ser señal de una intoxicación mortal. Cuadros así se han visto recientemente por Villa Gesell y Pinamar y están asociados a la ingesta de un pequeño organismo marino conocido como “babosa moteada”.",Sociedad,"Alerta por la presencia de una babosa tóxica en las playas de Gesell y Pinamar La Pleurobranchaea maculata libera toxinas que pueden ser mortales para los animales que las comen Vómitos, ataxia, convulsiones y temblores. Si un perro muestra este tipo de síntomas poco después de haber ido a la playa, hay que preocuparse: puede ser señal de una intoxicación mortal. Cuadros así se han visto recientemente por Villa Gesell y Pinamar y están asociados a la ingesta de un pequeño organismo marino conocido como “babosa moteada”."
